,index,name,early,late,arrival,departure,distance,weight(1),weight(2),maxVehicle
0,0,0: 精芯传媒有限公司(depot),06:00:00,14:20:00,-,03:47:57,0,-0.0,-0.0,-
1,1,86: 创联世纪科技有限公司,2020-01-05 09:51:00,2020-01-05 12:51:00,09:51:00,10:10:00,270.89,916.0,6.0,11
2,2,42: 易动力科技有限公司,2020-01-05 12:52:00,2020-01-05 16:05:00,12:52:00,13:03:00,300.11,768.0,8.0,4
3,3,3: 襄樊地球村网络有限公司,2020-01-05 14:46:00,2020-01-05 15:07:00,14:46:00,15:02:00,344.25,212.0,5.0,4
4,4,27: 艾提科信科技有限公司,2020-01-05 13:16:00,2020-01-05 17:58:00,15:43:55,15:57:55,372.2,443.0,7.0,4
5,5,36: MBP软件信息有限公司,2020-01-05 13:48:00,2020-01-05 17:44:00,16:37:15,16:47:15,398.43,228.0,6.0,4
6,6,52: 立信电子科技有限公司,2020-01-05 08:32:00,2020-01-05 11:02:00,17:58:44,18:10:44,446.08,569.0,9.0,11
7,7,11: 商软冠联科技有限公司,2020-01-05 07:28:00,2020-01-05 10:14:00,21:13:41,21:23:41,568.04,542.0,5.0,11
8,8,5: 思优传媒有限公司,2020-01-05 06:38:00,2020-01-05 06:59:00,22:08:47,22:20:47,598.11,457.0,7.0,11
9,9,75: 襄樊地球村网络有限公司,2020-01-05 09:09:00,2020-01-05 14:11:00,23:32:58,23:42:58,646.23,745.0,8.0,4
10,10,70: 襄樊地球村传媒有限公司,2020-01-05 10:36:00,2020-01-05 11:23:00,01:35:40,01:47:40,721.36,862.0,8.0,4
11,11,20: 立信电子信息有限公司,2020-01-05 08:41:00,2020-01-05 11:06:00,03:30:51,03:41:51,790.16,588.0,6.0,4
12,12,41: 和泰科技有限公司,2020-01-05 08:28:00,2020-01-05 09:17:00,04:18:56,04:34:56,814.87,895.0,6.0,4
13,13,45: 巨奥网络有限公司,2020-01-05 10:57:00,2020-01-05 12:13:00,05:28:05,05:42:05,850.31,714.0,6.0,4
14,14,46: 雨林木风计算机科技有限公司,2020-01-05 06:55:00,2020-01-05 09:29:00,08:00:25,08:15:25,942.53,598.0,8.0,4
15,15,55: 易动力信息有限公司,2020-01-05 07:26:00,2020-01-05 07:34:00,09:25:39,09:44:39,989.36,769.0,8.0,11
16,16,0: 精芯传媒有限公司 (return),06:00:00,14:20:00,12:43:52,-,1108.83,0,0,-
