,name,wage_per_period,max_period,max_day,job_set,day_off,start,end
0,Ryan Gallagher,908,10,13,[2],[1],2,7
1,박영길,1284,11,10,"[2, 1]",[4],2,7
2,Rachel Davis,1226,9,12,"[2, 1]",[2],3,8
3,史建平,1124,8,10,"[2, 1]",[2],3,10
4,김영희,972,12,10,"[2, 1]",[1],4,8
5,김현정,936,9,13,[1],[3],2,9
6,王洋,1123,10,12,[1],[1],3,9
7,Teresa James,1017,9,11,[1],[1],0,9
8,Javier Johnson,960,9,13,[1],[2],4,9
9,Jeffrey Simpson,911,8,10,"[1, 2]",[1],4,9
10,David Robinson,1021,11,13,[2],[3],1,8
11,이경수,1026,8,10,[1],[4],4,11
12,罗玉英,1220,12,12,[2],[4],3,9
13,진준호,1194,8,14,[1],[0],0,11
14,杨洁,1201,10,14,"[2, 1]",[4],1,8
15,谷红霞,1183,9,14,[2],[4],0,10
16,장수진,1287,10,13,[2],[4],3,11
17,文雪梅,1142,9,10,"[1, 2]",[1],0,10
18,최경희,943,11,14,[1],[3],4,11
19,안승현,1168,10,10,[2],[2],2,7
20,Joshua Warner,1237,8,11,[2],[2],2,11
21,이영희,1121,9,14,"[2, 1]",[3],2,10
22,石玲,993,11,12,[2],[2],0,11
23,杉山 晃,1199,8,13,[1],[2],0,11
24,한현준,1243,11,11,"[1, 2]",[3],0,10
25,佐々木 加奈,1063,12,13,"[2, 1]",[1],4,11
26,Vicki Townsend,985,8,13,"[1, 2]",[3],3,7
27,山岸 くみ子,1144,10,14,"[1, 2]",[2],0,11
28,解英,1056,10,10,"[2, 1]",[4],2,11
29,陈萍,1015,11,12,"[2, 1]",[3],1,9
